source,target
8,6
8,7
41,6
43,4
46,6
47,2
48,2
50,2
50,6
53,5
55,2
63,7
64,4
65,6
66,1
81,4
82,4
86,2
86,4
98,4
104,6
130,6
134,2
134,6
134,7
135,4
143,2
147,4
162,6
165,2
165,4
165,7
170,2
175,5
177,1
185,4
185,6
196,2
196,4
197,4
199,4
202,1
209,2
219,4
223,3
223,4
225,6
233,2
237,2
237,6
244,4
254,2
256,4
262,4
263,1
271,4
278,2
288,4
292,4
300,2
312,4
320,2
322,4
322,7
324,1
324,6
325,2
326,4
330,4
339,2
339,4
352,2
360,2
364,4
365,1
368,2
368,6
389,6
391,6
392,4
394,2
397,4
404,4
406,2
408,2
408,4
412,6
422,4
429,1
429,2
429,6
438,2
442,7
443,4
444,1
444,2
454,3
458,4
459,4
462,2
469,1
470,4
473,6
479,4
482,2
484,2
489,6
489,7
492,2
492,4
505,2
506,2
506,6
508,2
509,7
510,4
512,6
517,4
520,2
521,2
525,7
527,2
527,4
530,2
534,6
535,4
537,6
537,7
547,4
549,2
553,4
554,3
558,2
560,2
565,1
567,2
578,1
581,4
582,2
588,6
590,2
599,4
601,2
605,2
605,4
613,4
614,4
616,4
618,7
628,1
631,2
636,7
639,2
642,3
642,5
643,2
653,1
656,2
658,1
658,6
662,5
664,4
673,4
674,7
677,3
684,4
685,4
687,4
691,4
692,4
726,2
726,7
731,4
735,7
741,2
752,4
755,4
765,2
769,2
781,4
783,6
783,7
790,4
793,2
796,4
798,1
803,6
813,6
816,2
816,5
819,1
831,2
835,7
836,2
837,1
837,4
841,2
842,4
843,4
848,2
853,6
858,7
861,2
863,1
863,2
866,2
867,7
870,2
870,4
871,7
879,2
895,2
900,2
902,4
908,2
908,4
912,6
914,2
933,2
938,2
940,2
944,4
944,6
953,4
960,2
960,5
968,4
978,1
1003,7
1008,6
1018,4
1034,2
1035,1
1035,6
1043,2
1051,2
1056,2
1056,3
1056,6
1060,1
1060,6
1062,2
1063,6
1068,2
1072,2
1080,1
1084,7
1088,7
1091,2
1099,2
1099,3
1099,4
1100,2
1109,6
1110,1
1113,2
1113,3
1119,2
1124,6
1128,6
1140,2
1148,2
1148,6
1148,7
1149,3
1150,1
1167,2
1169,6
1169,7
1179,1
1179,2
1182,2
1183,2
1183,3
1184,6
1185,6
1186,2
1195,7
1196,1
1197,1
1197,6
1200,2
1206,4
1221,2
1223,4
1225,2
1236,2
1239,7
1249,1
1251,6
1256,2
1260,2
1278,2
1283,4
1283,6
1292,2
1297,2
1297,6
1298,3
1311,5
1311,6
1321,1
1326,4
1333,2
1333,6
1334,5
1342,5
1343,1
1344,6
1346,2
1346,6
1350,7
1355,6
1358,6
1360,6
1362,7
1370,2
1384,3
1389,6
1402,6
1404,2
1404,5
1410,1
1416,2
1417,7
1421,2
1437,3
1438,4
1445,2
1446,4
1447,2
1450,1
1450,2
1453,1
1457,3
1459,6
1462,2
1463,4
1471,7
1476,4
1488,1
1488,2
1491,4
1500,1
1501,1
1501,6
1503,1
1503,2
1503,6
1505,3
1505,4
1506,1
1508,1
1510,1
1510,2
1511,5
1511,7
1513,1
1513,4
1515,1
1515,2
1519,1
1519,6
1520,1
1520,6
1522,2
1526,1
1531,1
1532,1
1534,5
1537,7
1541,3
1541,7
1544,1
1548,1
1552,1
1552,6
1553,3
1557,1
1557,3
1560,1
1564,5
1568,5
1568,6
1570,4
1571,2
1572,1
1575,1
1577,1
1577,4
1582,5
1585,1
1589,1
1591,1
1591,2
1591,5
1591,7
1594,2
1595,1
1595,6
1595,7
1599,2
1599,3
1599,5
1603,1
1603,2
1608,1
1608,4
1608,5
1609,1
1610,1
1610,7
1613,1
1613,7
1615,5
1619,7
1621,1
1622,1
1623,6
1625,1
1626,4
1628,3
1629,7
1631,1
1631,2
1638,1
1640,7
1641,1
1641,3
1642,2
1644,1
1650,1
1651,3
1651,6
1652,1
1652,2
1653,1
1655,1
1657,6
1657,7
1658,7
1659,3
1662,7
1663,4
1667,1
1668,1
1668,7
1669,5
1671,1
1671,2
1671,5
1673,1
1673,2
1673,6
1677,1
1677,2
1678,5
1679,1
1684,1
1685,6
1687,1
1688,1
1689,1
1692,1
1695,1
1697,1
1703,1
1706,2
1706,7
1707,4
1707,5
1707,7
1710,1
1711,1
1713,1
1714,1
1714,2
1714,7
1715,5
1717,1
1718,1
1720,6
1722,1
1723,1
1728,1
1733,1
1734,7
1735,1
1736,3
1738,1
1738,7
1741,5
1741,6
1742,1
1743,4
1748,1
1750,3
1752,1
1754,1
1754,4
1758,1
1759,1
1761,1
1761,4
1763,7
1766,3
1767,1
1767,2
1771,1
1772,1
1775,1
1778,2
1779,1
1792,6
1793,1
1795,1
1795,2
1797,1
1797,2
1798,1
1799,1
1799,2
1804,6
1807,1
1808,5
1808,6
1809,1
1810,1
1812,1
1815,1
1818,1
1821,1
1821,6
