id,label,attribute,attributeNum
1,特效,characteristic,0
2,剧情,characteristic,0
3,人物,characteristic,0
4,喜剧,characteristic,0
5,导演,characteristic,0
6,演员,characteristic,0
7,演技,characteristic,0
8,超前点映场。场面真实，剧情紧凑。中间其实很想上厕所，但是愣是没有找到任何尿点…作为战争片，已超额完成任务，在真实度还原上，达到了国产影片从未有过的高度。细节处理也很妙，剥糖纸的那一段看的揪心。被海清和蒋璐霞的演技圈粉…看到最后，感觉自己整个人都在燃烧。准备春节的时候带着爸妈二刷。,comment,1
13,后半部分好看，拯救人质那条线扣人心弦、一气呵成，国产动作枪战片拍成这样可以的。2018版《战狼2》+《拯救大兵瑞恩》+《湄公河行动》。爆破手杜江、狙击手尹昉…都是不可多得的好演员。,comment,1
14,贺岁档的黑马，算是军事题材电影的口碑之作了，真正意义上的战争大片，画面很真实，直接切入主题，毫不拖泥带水，朋友说我重口味，看的津津有味。蛟龙小分队组合也实在完美，每一个都有特点，全都被虐的狠，没什么大演员但演技都有，很喜欢狙击手顾顺，新演员很亮眼，林的枪战片真的有很大飞跃值得二刷,comment,1
15,本质上就是一个爱国主义通关游戏，胜在节奏感好，一快遮百丑。商业片导演们请向林超贤学习、学习、再学习！,comment,1
17,比想象中好。在缺乏观众熟悉的脸孔光环以后，导演采取了另一种军事行动的拍摄方式，将所有演员的面孔掩盖在鲜血武器和迷彩下，凸显的不再是英雄人物，而是英雄主义。作为命题作文，这个版本可能比湄公河更切题。ps黄景瑜这本拍的太赚了，虽然一直想和他说口香糖不甜了就吐了吧。,comment,1
18,片子太刚了，138分钟，真正的文戏不超过20分钟。整部片子算得上飙演技的也就是海清那一段回忆杀。演员确实都不容易，但是整部电影真不太需要演技，张译有点浪费。预计上映后两级分化严重。建议去看的话，最好选择巨幕和IMAX，要不然就可惜了。这电影就是给大屏幕拍的，影院观影是加分项。,comment,1
19,大概比战狼2好了一百个战狼1吧，林导演的战争场面过瘾，远超预期,comment,1
21,真的是特别燃的电影，不管是大场面还是小细节，看下来真的非常震撼，林超贤真的很用心。每个人物都非常立体，团队配合默契，顾顺的狙击战让人印象特别深刻，黄景瑜演得很到位，很有潜力。蒋璐霞真的太拼了，好酷的小姐姐。看完电影民族自豪感杠杠的，值得再去二刷三刷！,comment,1
23,老实说，拍的质量没得说了，这次没有个人英雄主义，剧情惨烈，没有中枪不死，该牺牲的就牺牲了，各种武器装备能用的都用了，大无人机很帅，就是出场时间太短。从头打到尾啊，林超贤导演666啊,comment,1
40,一气呵成，没有大段文戏，主要在作战间隙穿插，但却更好展现了蛟龙突击队状态，两个狙击手之间的紧绷又协作的关系，女兵机枪手和石头之间感情，表现的不多确很到位每个人物都很立体不会拥挤也不会冲突，其他就是宏大的场面，燃燃燃，爽爽爽，看的酣畅淋漓，影片质量之高可以说是中国战争片的里程碑了！,comment,1
45,狙击手好厉害好炫酷，唯一一个女兵巾帼不让须眉，枪林弹雨我真的好担心她。还有吃糖剧情时候就隐隐感觉到FLAG。虽然我不太懂各式武器，还是看到燃。大尺度的血腥场面演绎残酷战场，也许为了能播血腥景，还是有几处略生硬的强行体现主题。,comment,1
49,不愧是林超贤  真是一级棒 称得上是中国大片了，几分钟一个小高潮 ， 海战、巷战、沙漠战、营救人质、坦克战、空战……环环相扣，节奏感很强，全程无尿点，全员演技都很ok，喜欢狙击手，很帅欸😍感觉黄景瑜蛮有潜力的,comment,1
53,林超贤这次放的特别开，专业军事迷的福利给的很足，拍得也是超级现实，全写实风格，场面戏过足了瘾，一水的最先进武器，看得人特解馋。和《湄公河行动》相比缺陷是剧情的文戏太弱，情绪不顺畅。这是一部值得尊敬的电影。四星的片子，但是看得出来整个片子的诚意，给五星。,comment,1
55,技术上真是没话讲，这种枪械爆破动作大片，现在的华语导演中没人能拍过林超贤，要是文戏再讲究一点，人物再丰满一点就更好了。比湄公河要好，与黑鹰坠落的最大区别在于，黑鹰强调的是不能丢下一个人，红海强调的是谁惹中国人就让你不得好死，这也是公认大国和标榜大国的心态区别。,comment,1
62,编剧专业，演员不出戏，最后20分钟略烂尾。值得看。,comment,1
